
---- PROCESS STARTING ON: Mon, 11 Mar 2013 13:05:11 +0000 ----
[2013-03-11 14:05:13,045][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI10\nsS'height'\np5\nI3\nsS'surface'\np6\nF34\nsS'width'\np7\nI18\nsa(dp8\nS'y'\nI1\nsS'x'\nI140\nsg5\nI3\nsg6\nF16\nsg7\nI9\nsa(dp9\nS'y'\nI1\nsS'x'\nI156\nsg5\nI2\nsg6\nF2\nsg7\nI3\nsasS'command'\np10\nS'observation'\np11\nsS'name'\np12\nS'combined_yellow'\np13\ns."
[2013-03-11 14:05:13,239][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF252.5\nsS'height'\np5\nI19\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI68\ns."
[2013-03-11 14:05:13,240][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI68\nsS'height'\np5\nI19\nsS'surface'\np6\nF252.5\nsS'width'\np7\nI18\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,240][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF6\nsS'height'\np5\nI3\nsS'width'\np6\nI4\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI155\ns."
[2013-03-11 14:05:13,240][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF18\nsS'height'\np5\nI3\nsS'width'\np6\nI10\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI11\ns."
[2013-03-11 14:05:13,241][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI11\nsS'height'\np5\nI3\nsS'surface'\np6\nF18\nsS'width'\np7\nI10\nsa(dp8\nS'y'\nI1\nsS'x'\nI155\nsg5\nI3\nsg6\nF6\nsg7\nI4\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_yellow'\np12\ns."
[2013-03-11 14:05:13,267][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF252.5\nsS'height'\np5\nI19\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI68\ns."
[2013-03-11 14:05:13,267][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI68\nsS'height'\np5\nI19\nsS'surface'\np6\nF252.5\nsS'width'\np7\nI18\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,267][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF6\nsS'height'\np5\nI3\nsS'width'\np6\nI4\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI155\ns."
[2013-03-11 14:05:13,268][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF18\nsS'height'\np5\nI3\nsS'width'\np6\nI10\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI11\ns."
